DATE_TIME,OBSERVATORY_NAME,SENSOR_TYPE,MINIMUM_TEMPERATURE,MAXIMUM_TEMPERATURE,AVERAGE_TEMPERATURE,MINIMUM_HUMIDITY,MAXIMUM_HUMIDITY,AVERAGE_HUMIDITY,MINIMUM_WIND,MAXIMUM_WIND,AVERAGE_WIND,MINIMUM_DIRECTIONOFWIND,MAXIMUM_DIRECTIONOFWIND,AVERAGE_DIRECTIONOFWIND,MINIMUM_PRECIPITATION,MAXIMUM_PRECIPITATION,AVERAGE_PRECIPITATION,MINIMUM_ROAD_TEMPERATURE,MAXIMUM_ROAD_TEMPERATURE,AVERAGE_ROAD_TEMPERATURE,MINIMUM_FELT_TEMPERATURE,MAXIMUM_FELT_TEMPERATURE,AVERAGE_FELT_TEMPERATURE
2020-05-02 16:00:00,CAVUSBASI,AUTOMATED_WEATHER_SENSOR,19.09,20.89,20.06566,50.65,59.72,54.55491,0,0.178,0.01109,0,341,26.69811,0,0,0,-99,-99,-99,19.09,24.33,20.42075
2020-05-02 17:00:00,CATALCA_MGM,AUTOMATED_WEATHER_SENSOR,15,16.8,16.02364,70,74,71.85455,1.1,2.2,1.64909,1,356,182.65455,-99,-99,-99,-99,-99,-99,16.16,17.93,16.90891
2020-05-29 11:00:00,GOZTEPE,AUTOMATED_WEATHER_SENSOR,19.4,20.1,19.72833,71,75,73.01667,2.8,5.1,3.85333,183,213,200.26667,0,0,0,-99,-99,-99,19.88,21,20.431
2020-05-31 00:00:00,TUZLA_MGM,AUTOMATED_WEATHER_SENSOR,14.7,15,14.85,81,86,83.86667,0,0.7,0.15833,18,354,145.23333,0,0,0,-99,-99,-99,14.7,18.23,15.8135
2020-05-30 14:00:00,ARNAVUTKOY,ICING_SENSOR,20.63,20.97,20.80967,44.69,49.06,46.73017,2.21,7.01,3.76733,164,292,212.98333,0,0,0,34.7,40.2,38.49,21.31,22.19,21.75417
2020-05-22 07:00:00,YSS_KOPRUSU,ICING_SENSOR,12.24,12.72,12.43197,68.87,75.39,71.53492,9.24,13.14,11.20656,15,33,24.93443,0,0.01,0.00033,10.8,11.8,11.17541,9.47,10.6,9.95984
2020-05-22 12:00:00,AHL_BAKIRKOY,ICING_SENSOR,14.34,15.97,15.16636,63.61,68.3,66.0025,0.93,3.33,2.15545,121,334,220.20455,0,0.42,0.29727,22.1,24.6,23.37045,13.98,16.69,15.64023
2020-05-03 06:00:00,AKOM,AUTOMATED_WEATHER_SENSOR,18.45,19.09,18.71762,66.07,72.88,69.39452,0,1.417,0.59052,0,339,156.95238,0,0,0,24.1,26.1,24.94524,18.45,21.64,19.83714
2020-05-27 11:00:00,BEYLİKDUZU_MGM,AUTOMATED_WEATHER_SENSOR,14.9,15.4,15.20833,80,86,82.83333,2.1,5,3.85,13,58,35.66667,-99,-99,-99,-99,-99,-99,14.87,15.36,15.03583
2020-05-31 02:00:00,KARTAL_U_MUMCU,ICING_SENSOR,12.17,12.72,12.35583,98.4,100,99.66167,0,0,0,81,246,115.58333,0,0,0,15.6,16.1,15.80833,12.17,12.72,12.357
2020-05-29 19:00:00,YSS_KOPRUSU,ICING_SENSOR,14.82,15.2,14.98836,80.6,86.3,83.61967,1.845,4.063,2.77426,143,222,192.39344,0,0,0,15.5,16.7,15.9918,14.6,15.64,15.11393
2020-05-02 07:00:00,HADIMKOY,AUTOMATED_WEATHER_SENSOR,20.28,21.69,20.81217,59.38,65.73,62.47533,2.348,5.365,3.74723,165,211,181.43333,0,0,0,28.9,32.6,30.39833,21.07,22.99,21.762
2020-05-31 12:00:00,EYUP_MGM,AUTOMATED_WEATHER_SENSOR,24.6,25.8,25.29667,29,38,33.91667,3.5,9,6.27,208,261,235.76667,0,0,0,-99,-99,-99,25.41,26.75,25.8075
2020-05-30 15:00:00,FLORYA,AUTOMATED_WEATHER_SENSOR,19.7,20.3,19.96333,65,72,68.73333,0.8,2.3,1.37167,187,297,222.35,0,0,0,-99,-99,-99,20.8,21.88,21.4925
2020-05-20 21:00:00,AHL_BAKIRKOY,ICING_SENSOR,21.82,22.5,22.13807,58.11,60.29,59.20912,1.33,2.85,2.02895,1,347,195.08772,0.41,0.44,0.4307,24.2,25,24.61228,23.24,24.24,23.69228
2020-05-29 19:00:00,MASLAK_ITU,ICING_SENSOR,15.07,15.75,15.42902,73.17,76.51,75.0959,0,2.61,1.14295,170,285,225.45902,0,0,0,-99,-99,-99,15.21,17.36,16.59885
2020-05-20 07:00:00,BEYKOZ_MGM,AUTOMATED_WEATHER_SENSOR,20.1,23.2,21.45167,65,80,73.26667,0.6,2,1.28333,1,333,248.5,0,0,0,-99,-99,-99,21.66,25.26,23.18367
2020-05-29 10:00:00,SILE_2,AUTOMATED_WEATHER_SENSOR,15.1,19.3,17.46167,68,75,71.18333,1,2.8,1.65667,189,358,297.36667,-99,-99,-99,-99,-99,-99,15.82,20.62,18.5455
2020-05-31 10:00:00,HALIC,ICING_SENSOR,22.73,23.85,23.46814,34.22,39.67,37.78712,0,0.53,0.00898,175,321,239.84746,0,0,0,44.7,46,45.41356,22.73,23.85,23.46356
2020-05-25 04:00:00,MASLAK_ITU,ICING_SENSOR,14.69,15.27,14.88864,73.85,76.23,75.3822,0,2.69,1.28712,1,355,171.89831,0,0,0,-99,-99,-99,14.79,16.62,15.92763
2020-05-01 20:00:00,HADIMKOY,AUTOMATED_WEATHER_SENSOR,16.23,16.5,16.33146,71.32,74.78,72.59188,1.683,3.392,2.61458,133,164,154.20833,0,0,0,20.5,21.6,21.06458,16.41,17.23,16.77667
2020-05-29 13:00:00,GOZTEPE,AUTOMATED_WEATHER_SENSOR,19.3,20.1,19.775,70,73,71.51667,2.4,4.1,3.48167,177,211,195.45,0,0,0,-99,-99,-99,20.02,21.17,20.56767
2020-05-31 01:00:00,BASAKSEHIR,ICING_SENSOR,15.03,16.39,15.94153,78.63,85.6,80.46356,0.441,2.769,1.4602,133,201,166.74576,0,0,0,16.7,17.2,16.99831,15.3,17.89,17.02085
2020-05-30 00:00:00,HALIC,ICING_SENSOR,15.6,16.04,15.80763,76.93,79.71,77.82373,0,0,0,197,271,223.15254,0,0,0,16.3,17,16.57119,15.6,16.04,15.79203
2020-05-30 03:00:00,EYUP_MGM,AUTOMATED_WEATHER_SENSOR,13.4,15.1,14.33333,94,99,97.45,0.6,3.1,1.125,11,264,209.1,0,0,0,-99,-99,-99,14.27,16.55,15.486
2020-05-01 07:00:00,CATALCA_MGM,AUTOMATED_WEATHER_SENSOR,18.3,20.1,19.21034,63,69,65.93103,0.1,4.3,1.71207,26,353,218.60345,-99,-99,-99,-99,-99,-99,19.55,21.95,20.56259
2020-05-29 23:00:00,AHL_BAKIRKOY,ICING_SENSOR,15.9,16.11,16.00483,80.2,85.5,82.48833,0,3.09,1.65633,280,342,296.45,0.42,0.56,0.4905,15.8,16.8,16.25,16.24,17.77,16.92183
2020-05-27 22:00:00,YSS_KOPRUSU,ICING_SENSOR,13.62,14.33,13.80846,87.8,90,88.84808,0.663,4.617,2.57133,10,349,110.17308,0,0,0,12.6,13.2,12.83462,13.1,15.28,13.98327
2020-05-30 19:00:00,FLORYA,AUTOMATED_WEATHER_SENSOR,16.3,16.6,16.41667,82,84,83.21667,0.6,1.5,0.98833,62,218,139.4,0,0,0,-99,-99,-99,17.3,18.45,17.84333
2020-05-30 03:00:00,HALIC,ICING_SENSOR,15.3,15.98,15.583,81.5,84.4,83.59,0,0,0,184,273,218.1,0,0,0,15.8,17.6,16.53333,15.3,15.98,15.58867
2020-05-30 01:00:00,HALIC,ICING_SENSOR,15.23,15.57,15.41035,79.85,84,81.93947,0,0,0,186,280,224.22807,0,0,0,15.8,16.3,16.02982,15.16,15.57,15.39947
2020-05-28 09:00:00,MASLAK_ITU,ICING_SENSOR,14.46,16.57,15.42387,78.35,83.2,80.66839,0.69,2.45,1.31452,133,232,176.22581,0,0,0,-99,-99,-99,14.97,17.79,16.5929
